city2,genus,PLACEFIPS,FIPS,STFIPS.x,HOUSEUNITS,POPULATION,ecoprovmajority,NAME.y,fdmed1stmean,fdmedlastmean,frzfremedmean,gddmenmean,logdnsmean,logdtrmean,logdtrdnsmean,mindexmean,phmnxtmpmean,pptmeasmean,pptmenmean,tmpmaxmean,tmpmaxsummean,uselevmean,phzone,ha,ecoprovmaj,xcoord,ycoord,namestate,County,inc_1969,inc_1979,inc_1989,State,Mean.YEAR,Mean.Value,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,coastdat.coast3,canopy,city,small,med,large,state,trait_value.diameter.at.breast.height..1.3.m.,trait_value.leaf.area,trait_value.leaf.dry.mass,trait_value.seed.mass,trait_value.whole.plant.height,OrigValueStr.Leaf.length,OrigValueStr.Leaf.thickness,OrigValueStr.Leaf.width,OrigValueStr.Plant.growth.rate,OrigValueStr.Plant.height.vegetative,OrigValueStr.Plant.lifespan..longevity.,OrigValueStr.Stem.diameter,small_cor,med_cor,large_cor,log_small
ALTAMONTE SPRINGS FL,abies,1200950,18019,12,22088,44138,232,ALTAMONTE SPRINGS,365,34.85714286,330.1428571,8154.428571,208.8,0,165.28,-0.018715895,-289.3076923,100,1273.142857,280,329.1428615,24.82945268,92,2504.52033,232,1424836,730785,ClintonIowa,"Clinton County, IA",25410,31027,27233,Iowa,1982.565876,159728.4777,218,114,47,4612,328,88,240,272,166,272,155,1256,190,49,48,528,160,528,195,56373.55339,0.267489033,ALTAMONTESPRNGS,,,,FL,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
AMES IA,abies,1901855,24019,19,23876,63516,251,AMES,279.75,116.9375,162.8125,3140,166.6567164,18.44776119,196,0.345809206,-2700.621212,89.4375,868.8823529,147.2352941,281.1372555,284.9037249,51,6358.42545,251,195110,2116255,StoryIowa,"Story County, IA",33048,28497,26012,Iowa,1979.036551,203992.579,88,121,28,10931,296,-136,432,201,-63,221,-63,837,127,19,50,335,71,334,71,1336747.38,0.100753956,AMES,,,,IA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
AMHERST CENTER MA,abies,2501360,29109,25,3281,20270,221,AMHERST CENTER,270,132,138,2679,188.25,5.416666667,189.75,0.414786021,-2377.428571,113,1169,150,270,75.339254,52,1284.63504,221,1901835,2389087,HampshireMassachusetts,"Hampshire County, MA",25891,27942,29401,Massachusetts,1960.989063,375904.8604,83,126,32,9274,279,-114,393,132,-29,198,-42,1112,100,77,7,293,250,293,254,110650.0531,0.421607818,AMHERST,,,,MA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
ANDERSON IN,abies,1801468,22017,18,27953,55138,222,ANDERSON,288.9666667,119.8,169.1666667,3233.866667,170.8849558,12.04424779,179.9469027,0.350745821,-2285.17757,107.8666667,998.1,158.3,279.3555583,262.6722706,61,11054.07732,222,869513,1943980,MadisonIndiana,"Madison County, IN",26981,29973,29093,Indiana,1962.459699,91600.07683,104,110,29,9451,290,-85,375,200,-25,220,-25,991,106,56,19,302,187,290,187,736002.4747,0.111794586,ANDERSON,,,,IN,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
APPLETON WI,abies,5502375,NA,55,30348,75505,212,APPLETON,283.2631579,122.1578947,161.1052632,2565.473684,189.6769231,11.15384615,170.4153846,0.357760942,-2742.017241,105,777.15,122.6,259.0333282,231.9564042,51,6456.84507,212,605064,2389506,CalumetWisconsin,"Calumet County, WI",34050,34271,29234,Wisconsin,1967.044693,168967.7234,70,109,26,10693,277,-141,418,202,-74,202,-74,774,93,27,36,271,94,271,94,967949.985,0.08025237,APPLETON,,,,WI,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
ARAPAHOE NE,abies,3101780,37119,31,515,1085,332,ARAPAHOE,275,122,153,3539,231.5,0,207,0.067078012,-2512,65,585,191,318,666.1934524,52,256.40901,332,-328367,1927865,FurnasNebraska,"Furnas County, NE",22050,18260,16104,Nebraska,1958.22314,88709.67742,104,157,35,10071,326,-116,442,208,-27,233,-27,571,95,11,62,271,39,245,39,1263611.783,0.0301755,ARAPAHOE,,,,NE,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
ARLINGTON HEIGHTS IL,abies,1702154,20119,17,32795,76120,222,ARLINGTON HEIGHTS,286,119.1111111,166.8888889,2964.555556,222.4222222,0.6,164.7333333,0.354994199,-2411.525,106.1111111,927,145.1111111,272.8518541,213.6647867,52,4307.15337,222,657883,2149369,CookIllinois,"Cook County, IL",15163,32151,32202,Illinois,1972.23866,356012.2994,91,105,26,9914,283,-106,389,213,-43,213,-43,906,103,34,30,302,135,302,135,981834.5103,0.131087197,ARLINGTON HEIGHTS,,,,IL,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
ARLINGTON MA,abies,2501640,29137,25,19974,44395,221,ARLINGTON,286,119.3333333,166.6666667,2679.333333,239.6470588,0.058823529,158.0588235,0.376070648,-1989.769231,115,1191.25,152,267.4166641,40.9434365,62,1421.90451,221,2007899,2421609,MiddlesexMassachusetts,"Middlesex County, MA",22908,34239,34059,Massachusetts,1950.321389,572522.4235,95,112,30,8823,281,-84,365,4,207,207,-22,1115,112,83,8,307,256,256,284,10098.40669,0.25157562,ARLINGTON,,,,MA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
ARLINGTON NE,abies,3101990,37047,31,524,1278,251,ARLINGTON,279,118,161,3473.084563,184.3050704,1.99939447,212.2081563,0.237119406,-2559.5,80.69447599,761.5799345,163.7100328,296.4733479,366.1244019,52,155.3994,251,-29560,2049969,DodgeNebraska,"Dodge County, NE",18568,27017,24363,Nebraska,1967.045455,144147.3988,101,125,29,10561,309,-116,425,211,-42,232,-42,764,111,16,52,303,59,286,59,1300838.313,0.11084063,ARLINGTON,,,,NE,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
ARLINGTON VA,abies,5103000,55117,51,105404,227517,221,ARLINGTON,300.7058824,103.6470588,197.0588235,4057.705882,227.7575758,0,149.2121212,0.287559412,-1537.191176,104.8823529,1095.588235,191.3529412,299.5098033,60.777828,71,6710.66409,221,1613564,1922281,NA,NA,37601,28756.75748,26234.44882,NA,1971.309586,623287.6399,129,117,33,8523,306,-46,352,237,16,237,16,1035,104,71,11,293,225,293,225,25826.63789,0.252731684,ARLINGTON,,,,VA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
ARROYO GRANDE CA,abies,602868,15007,6,7628,17940,261,ARROYO GRANDE,353,39.25,313.75,3029.25,195.9285714,1.357142857,167,-0.489437833,-139.8,36.5,442.2,208.4,226.4666656,51.33064922,92,1512.55416,261,-2197054,1626491,San Luis ObispoCalifornia,"San Luis Obispo County, CA",19601,24808,22739,California,1977.765074,520298.826,144,121,65,2215,235,49,186,118,165,171,115,415,83,0,90,230,2,9,228,4574.978632,0.069843331,ARROYO GRANDE,,,,CA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
ASBURY IA,abies,1903160,24001,19,1463,5151,222,ASBURY,285.5,116.5,169,2983.5,81.85714286,39,127.2857143,0.381053567,-2729.25,101,884.5,138.5,274.8333282,286.9935662,51,831.38679,222,426093,2179855,DubuqueIowa,"Dubuque County, IA",22234,32501,28542,Iowa,1992.086659,243865.2257,85,109,26,10705,286,-131,417,215,-62,215,-62,873,108,28,40,316,96,316,96,1213678.76,0.085862554,ASBURY,,,,IA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
ASHLAND NE,abies,3102305,37057,31,1060,2679,251,ASHLAND,279,118,161,3506,230,0,216,0.23414494,-2574,79,767.5,167.5,302.1666718,333.3909774,52,292.66887,251,-30912,2003574,WashingtonOklahoma,"Washington County, OK",28857,31965,27283,Oklahoma,1968.205965,136060.1002,102,127,29,10486,311,-117,428,211,-39,233,-39,779,111,17,52,312,60,301,60,1255492.739,0.082715477,ASHLAND,,,,NE,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
ASHLAND WI,abies,5503225,6029,55,3864,8037,212,ASHLAND,264.0909091,153,111.0909091,1855.909091,128.5277778,25.80555556,153.8888889,0.418694132,-3051.914286,117.6363636,781.9,106,245.2333344,215.4829545,42,3478.35657,212,394191,2631837,AshlandWisconsin,"Ashland County, WI",21905,19548,18474,Wisconsin,1954.84556,134484.7505,46,122,27,10773,262,-179,441,169,-102,178,-102,797,104,22,41,298,93,294,93,917263.5458,0.330374492,ASHLAND,,,,WI,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
ASHWAUBENON WI,abies,5503425,6029,55,7797,17490,212,ASHWAUBENON,278,128.75,149.25,2243.125,180.4545455,3.878787879,152.3636364,0.347114493,-2675.625,106.5,746,120.75,255.6250019,192.0668054,51,3278.92734,212,626994,2413877,BrownWisconsin,"Brown County, WI",23377,31159,29776,Wisconsin,1977.107818,179746.6216,68,110,26,10376,272,-139,411,196,-72,196,-72,745,88,26,35,261,93,261,93,935863.5367,0.103954988,ASHWAUBENON,,,,WI,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
ASPINWALL PA,abies,4203320,47019,42,1497,2629,221,ASPINWALL,292,117.2249851,174.7750149,3216.150374,243.9264527,0,158.3676429,0.335248917,-1988,133.2249856,996.1286751,162,275.3333435,264.2734375,62,98.41962,221,1346296,2056483,AlleghenyPennsylvania,"Allegheny County, PA",18081,30068,28190,Pennsylvania,1953.351026,259939.759,102,125,33,8780,290,-80,370,191,-16,211,-16,975,102,59,17,297,195,288,195,305984.4784,0.147897112,ASPINWALL,,,,PA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
ATKINSON NE,abies,3102550,37153,31,638,1212,332,ATKINSON,272,125,147,3100.559358,201.25,4.75,202,0.19019093,-2728.714286,75,624.0478883,155,290,645.0692718,51,422.16837,332,-242816,2174077,HoltNebraska,"Holt County, NE",20260,19376,16579,Nebraska,1959.36772,108024.6914,88,137,31,10551,309,-128,437,197,-51,222,-51,591,96,11,57,265,42,243,42,1473256.981,0.006935655,ATKINSON,,,,NE,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
ATLANTIC BEACH FL,abies,1202400,NA,12,6174,13076,232,ATLANTIC BEACH,352.6666667,39.33333333,313.3333333,7254,216.7,51.7,171.8,0.022989255,-412.2222222,98.33333333,1292,250.6666667,312.8888855,2.055987558,91,976.42623,232,1394837,914131,NA,NA,24312.01402,28756.75748,26234.44882,NA,1979.044084,411932.6292,206,104,40,5540,328,69,259,271,144,272,132,1220,167,52,40,485,193,462,234,1495.04626,0.230170413,ATLANTIC BEACH,,,,FL,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
ATWATER CA,abies,603162,15009,6,9771,29137,262,ATWATER,323.25,71.75,251.5,4696.25,197.4,2.466666667,155.1333333,-0.38895399,-390.1875,42.25,317.8,244.8,342.3333313,51.72740385,91,1585.07388,262,-2134287,1868222,MercedCalifornia,"Merced County, CA",21853,24574,22238,California,1978.368307,165627.1225,165,146,44,6435,355,28,327,83,246,246,83,293,63,0,85,156,3,3,156,120644.4341,0.004118115,ATWATER,,,,CA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
AUBURN HILLS MI,abies,2604105,30013,26,9965,22551,222,AUBURN HILLS,289.625,122,167.625,2890.25,152.3555556,10.68888889,160.2444444,0.31082809,-2193.954545,111.75,787,143.125,270.0416641,287.3226545,61,4309.74336,222,1036110,2255848,OaklandMichigan,"Oakland County, MI",21113,42433,41018,Michigan,1980.322041,146083.058,88,105,27,9687,285,-94,379,209,-29,209,-41,792,87,39,22,247,138,247,140,670660.5164,0.211431376,AUBURN HILLS,,,,MI,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
AUBURN ME,abies,2302060,29207,23,11016,23583,211,AUBURN,285.5813953,121.255814,164.3255814,2268.139535,101.8430233,34.73837209,138.4651163,0.427909608,-2549.825581,121.7906977,1198.209302,130.8139535,259.3333304,87.60800571,52,17029.18425,211,2030250,2620569,AndroscogginMaine,"Androscoggin County, ME",21301,22662,22600,Maine,1958.243736,182092.4262,72,112,28,9619,267,-125,392,27,185,194,-55,1139,121,83,12,327,252,259,282,29512.2206,0.514492434,AUBURN ME,,,,MISC,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
AUBURN NE,abies,3102655,37127,31,1721,3412,251,AUBURN,281,113,168,3792.5,187,5.571428571,184.2857143,0.251352757,-2509.666667,83,831.8430971,174.8892945,305.59446,302.9209115,52,564.61782,251,13163,1930613,NemahaNebraska,"Nemaha County, NE",20987,22503,21256,Nebraska,1963.249854,135549.1329,109,131,30,10398,320,-108,428,217,-31,239,-31,841,110,21,48,327,73,323,73,1175896.415,0.082020218,AUBURN,,,,NE,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
AUGUSTA GA,abies,1304204,19081,13,84427,197081,232,AUGUSTA,307.8730964,89.33502538,218.5380711,5465.86802,120.2979798,30.38636364,147.0871212,0.149199577,-1063.27729,95.9035533,1166.441624,240.071066,325.001691,86.5033348,81,79419.45336,232,1283019,1238175,BurkeGeorgia,"Burke County, GA",24952,17709,11579,Georgia,1975.594985,134339.9447,170,139,42,7059,331,1,330,92,176,259,77,1160,119,66,17,337,223,334,307,150743.093,0.491241291,AUGUSTA,,,,GA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
AURORA CO,abies,804000,NA,8,131040,357801,331,AURORA,271.257732,132.4329897,138.8247423,2628.721649,112.1218905,50.52487562,125.7288557,-0.01143502,-2398.508685,69.25773196,433.2604167,179.4270833,295.0833346,1704.686604,52,40012.75551,331,-740476,1888362,AdamsColorado,"Adams County, CO",30522,32694,31327,Colorado,1982.829077,220446.5072,97,152,38,8373,306,-88,394,182,-6,208,-6,401,68,11,53,176,39,153,39,1212669.854,0.020974048,AURORA CO,,,,CO,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
AURORA NE,abies,3102690,37049,31,1939,4611,332,AURORA,284,114,170,3434.5,195.7777778,12.44444444,218.2222222,0.205474737,-2475,76.5,727,164,295.3333435,548.9301397,52,764.04705,332,-167800,1985569,HamiltonNebraska,"Hamilton County, NE",25286,26415,20721,Nebraska,1964.352036,125165.9292,102,132,30,10472,314,-116,430,211,-39,233,-39,687,105,13,54,288,51,259,51,1271134.485,0.100122613,AURORA,,,,NE,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
AUSTIN TX,abies,4805000,51185,48,354241,903753,255,AUSTIN,332.7171717,62.33838384,270.3787879,7116.833333,143.102994,26.3760479,150.6431138,-0.086696555,-742.6135266,70.97474747,869.9303483,261.6218905,344.2570462,209.5375592,82,82745.00052,255,-168471,804644,HaysTexas,"Hays County, TX",22366,21732,18392,Texas,1984.127091,313653.7215,199,122,38,6947,354,35,319,237,122,284,106,817,111,40,32,273,155,181,161,204759.2635,0.364779071,AUSTIN DT,,,,TX,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
BAKERSFIELD CA,abies,603526,1023,6,120725,376151,262,BAKERSFIELD,340.7155963,38.21100917,302.5045872,5896.431193,127.7461538,29.17692308,127.3205128,-0.551866328,-258.3315927,28.97247706,177.5514019,253.8971963,354.2710312,137.9069799,92,38844.67002,262,-2055258,1616611,KernCalifornia,"Kern County, CA",15163,27411,24879,California,1983.62716,232225.877,186,147,43,6898,372,32,340,116,274,274,99,167,31,0,80,89,3,3,77,115464.7249,0.002132018,BAKERSFIELD,,,,CA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
BALDWIN PARK CA,abies,603666,15007,6,17736,76828,261,BALDWIN PARK,351,42.14285714,308.8571429,5412.571429,213.2352941,0.588235294,144.6470588,-0.491803296,114.4444444,28.42857143,414.2857143,253.1428571,302.7142857,105.9121972,101,1758.60321,261,-1994684,1455860,Los AngelesCalifornia,"Los Angeles County, CA",23838,29410,29127,California,1967.527546,332032.2549,182,141,54,3965,316,58,258,140,230,236,134,402,85,0,93,240,6,14,221,39784.94608,0.005949199,BALDWIN PARK,,,,CA,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
BALTIMORE MD,abies,2404000,29083,24,296685,620610,232,BALTIMORE,306.5,98.48148148,208.0185185,4139.666667,224.6168224,13.38785047,167.8271028,0.306814239,-1390.936893,102.6851852,1165.907407,190.6481481,301.734566,55.92447054,72,21079.92861,232,1644670,1977794,BaltimoreMaryland,"Baltimore County, MD",32452,36262,36558,Maryland,1951.489922,199204.5206,132,117,32,8770,318,-44,362,222,17,244,17,1106,106,77,10,303,249,303,249,2945.922972,0.156332968,BALTIMORE,,,,MD,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
BARRINGTON IL,abies,1703844,20099,17,4234,10505,222,BARRINGTON,281.2,122,159.2,2780,207.4166667,4.416666667,200.1666667,0.37106759,-2520.4,98.6,924.6,140,270,255.9865854,52,1243.1952,222,645449,2154614,CookIllinois,"Cook County, IL",32465,32151,32202,Illinois,1971.678798,533061.9748,86,110,27,10105,283,-117,400,210,-52,210,-52,911,104,32,32,309,127,309,127,995225.7465,0.208004203,BARRINGTON,,,,IL,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
BASSETT NE,abies,3103215,37089,31,410,607,332,BASSETT,274,125,149,3043,213.5049698,2.534435706,206.7902236,0.199023142,-2808.84942,77,614,157,291.6666565,709.3071895,51,113.95956,332,-288454,2181420,RockNebraska,"Rock County, NE",24981,20879,16661,Nebraska,1955.44186,83263.59833,89,139,31,10510,313,-128,441,197,-50,223,-50,586,92,11,58,267,43,242,43,1492263.466,0.015520752,BASSETT,,,,NE,18.5087439,135.7948614,0.689234211,4419.57284,13.83077445,4.18475,0.113674592,0.336678899,1.320309929,149.4555962,397.8571429,46.87085725,,,,
